1778625935.757615 server started (66537): version 3.6a, socket /tmp/tmux-1001/default, protocol 8
1778625935.757699 on Linux 7.0.5-1-aarch64-ARCH #1 SMP PREEMPT_DYNAMIC Fri May  8 09:46:42 UTC 2026
1778625935.757708 using libevent 2.1.12-stable poll
1778625935.757714 using ncurses 6.5 20240427
1778625935.757845 input_key_build: 0x10e003 (PasteStart) is \033[200~
1778625935.757854 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1778625935.757863 input_key_build: 0x10e25b (F1) is \033OP
1778625935.757894 input_key_build: 0x10e25c (F2) is \033OQ
1778625935.757903 input_key_build: 0x10e25d (F3) is \033OR
1778625935.757909 input_key_build: 0x10e25e (F4) is \033OS
1778625935.757915 input_key_build: 0x10e25f (F5) is \033[15~
1778625935.757921 input_key_build: 0x10e260 (F6) is \033[17~
1778625935.757926 input_key_build: 0x10e261 (F7) is \033[18~
1778625935.757932 input_key_build: 0x10e262 (F8) is \033[19~
1778625935.757937 input_key_build: 0x10e263 (F9) is \033[20~
1778625935.757943 input_key_build: 0x10e264 (F10) is \033[21~
1778625935.757948 input_key_build: 0x10e265 (F11) is \033[23~
1778625935.757954 input_key_build: 0x10e266 (F12) is \033[24~
1778625935.757959 input_key_build: 0x10e267 (IC) is \033[2~
1778625935.757965 input_key_build: 0x10e268 (DC) is \033[3~
1778625935.757971 input_key_build: 0x10e269 (Home) is \033[1~
1778625935.757976 input_key_build: 0x10e26a (End) is \033[4~
1778625935.757982 input_key_build: 0x10e26b (NPage) is \033[6~
1778625935.757988 input_key_build: 0x10e26c (PPage) is \033[5~
1778625935.757994 input_key_build: 0x10e26d (BTab) is \033[Z
1778625935.758000 input_key_build: 0x10e26e (Up) is \033[A
1778625935.758006 input_key_build: 0x10e26f (Down) is \033[B
1778625935.758012 input_key_build: 0x10e270 (Left) is \033[D
1778625935.758017 input_key_build: 0x10e271 (Right) is \033[C
1778625935.758023 input_key_build: 0x10e272 (KP/) is /
1778625935.758029 input_key_build: 0x10e273 (KP*) is *
1778625935.758035 input_key_build: 0x10e274 (KP-) is -
1778625935.758040 input_key_build: 0x10e275 (KP7) is 7
1778625935.758046 input_key_build: 0x10e276 (KP8) is 8
1778625935.758051 input_key_build: 0x10e277 (KP9) is 9
1778625935.758057 input_key_build: 0x10e278 (KP+) is +
1778625935.758063 input_key_build: 0x10e279 (KP4) is 4
1778625935.758068 input_key_build: 0x10e27a (KP5) is 5
1778625935.758074 input_key_build: 0x10e27b (KP6) is 6
1778625935.758080 input_key_build: 0x10e27c (KP1) is 1
1778625935.758085 input_key_build: 0x10e27d (KP2) is 2
1778625935.758091 input_key_build: 0x10e27e (KP3) is 3
1778625935.758097 input_key_build: 0x10e27f (KPEnter) is \n
1778625935.758102 input_key_build: 0x10e280 (KP0) is 0
1778625935.758108 input_key_build: 0x10e281 (KP.) is .
1778625935.758124 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1778625935.758133 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1778625935.758140 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1778625935.758146 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1778625935.758151 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1778625935.758157 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1778625935.758163 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1778625935.758169 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1778625935.758175 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1778625935.758181 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1778625935.758187 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1778625935.758193 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1778625935.758199 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1778625935.758205 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1778625935.758211 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1778625935.758217 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1778625935.758223 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1778625935.758229 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1778625935.758235 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1778625935.758241 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1778625935.758262 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1778625935.758269 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1778625935.758275 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1778625935.758281 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1778625935.758287 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1778625935.758293 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1778625935.758299 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1778625935.758305 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1778625935.758311 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1778625935.758317 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1778625935.758323 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1778625935.758329 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1778625935.758335 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1778625935.758340 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1778625935.758346 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1778625935.758352 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1778625935.758358 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1778625935.758364 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1778625935.758370 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1778625935.758376 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1778625935.758382 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
